Author,Title,Subtitle,ISBN 1,Publisher,TS,Pages,Language,Annotations,Illustrator,Translator,Original Title,Original language,Date of publishing
,Acta Comeniana 26,International Review of Comenius Studies and Early Modern Intellectual History,9788070074046,FILOSOFIA,2,248,,"Nový svazek Acta Comeniana p?ináší sedm studií, které se p?evážn? zabývají tématy z intelektuálních d?jin 16.–18. století. Vedle analýzy nov? objevených vatikánských pramen? k ranému vlivu antitrinitá?e J. Palaeologa se zabývají i vlivem F. Patriziho na J. A. Komenského a jeho herbornského u?itele J. H. Alsteda, dosud neidentifikovaným spisem Alstedova spolupracovníka J. H. Bisterfelda, cestopisem o Islandu z pera Daniela Vettera, koresponden?ní sítí slezského u?ence Sachse von Lewenheimb, domn?lým rozporem mezi Leibnizovým a Humeovým pojetím kauzality a literárním zpodobením exilu a postavy Komenského v ?eské produkci 19. století. Recenzní rubrika p?ináší t?ináct recenzí nov?jší ?eské, n?mecké, anglické a polské odborné literatury. V anglickém a n?meckém jazyce.",,,,,2013
"Storchová, Lucie",Acta Comeniana 27,International Review of Comenius Studies and Early Modern Intellectual History,9788070074336,FILOSOFIA,2,225,anglický,"Nový svazek p?ináší krom? recenzní rubriky sedm studií, které se týkají intelektuálních d?jin 16.–18. století. Vedle u?ení židovských myslitel? v renesan?ní Itálii se zabývají nap?. vlivem špan?lského v?d?ní 16. století na Francise Bacona, výrokovou logikou pozdní scholastiky, dramatikou bratrské školy v Lešn?, recepcí n?mecké rozjímavé literatury u ?eských humanist?, obrazem pob?lohorských exulant? v m?st? Slaném ?i srovnáním náboženských identit u východo?eských nekatolík? a languedockých reformovaných.",,,,,2015
"Knoll, Vilem",Acta historico-iuridica - Pilsnensia 2012-2013,,9788073805302,Vydavatelství a nakladatelství Aleš ?en?k,2,200,?eský,"Šestý svazek ?ady „Acta historico-iuridica Pilsnensia“, vydávaný Vydavatelstvím a nakladatelstvím Aleš ?en?k ve spolupráci s Fakultou právnickou Západo?eské univerzity v Plzni, p?ináší ?ást p?ísp?vk?, které zazn?ly na mezinárodní konferenci „Zlatá bula sicilská 1212–2012“, jež se konala v ?íjnu 2012 v areálu hradu Loket u p?íležitosti 800. výro?í vydání Zlaté buly sicilské. Uspo?ádala ji Fakulta právnická Západo?eské univerzity v Plzni ve spolupráci s územním odborným pracovišt?m Národního památkového ústavu v Lokti a za partnerství Widzia?u prawa i Administracji Universytetu Jagiello?skiego w Krakowie. P?edložený sborník obsahuje celkem t?ináct p?ísp?vk? z pera patnácti autor? ve ?ty?ech jazycích, p?i?emž každý z p?ísp?vk? obsahuje anglické resumé. Jednotlivé p?ísp?vky, související svým obsahem se Zlatou bulou sicilskou ?i ší?eji se st?edov?kými právními d?jinami, se týkají d?jin domácích i obecných, n?které z nich mají širší záb?r, jiné jsou zam??eny regionáln?, p?i?emž se dotýkají ?ady témat z r?zných oblastí dobového práva. Svým širokým záb?rem sborník jist? zaujme jak právníky, tak i historiky, ale i další zájemce o právn?historickou a historickou problematiku, odborníky i laiky.",,,,,2014
"Knoll, Vilém",Acta historico-iuridica Pilsnensia 2006,,9788073800857,Vydavatelství a nakladatelství Aleš ?en?k,2,360,?eský,"Sborník je výstupem ze „Setkání zástupc? kateder právních d?jin právnických fakult z ?eské republiky a Slovenské republiky“, které ve dnech 21. až 23. zá?í 2006 uspo?ádala Katedra právních d?jin Fakulty právnické Západo?eské univerzity v Plzni. Konference se zú?astnili právní historikové z Masarykovy univerzity v Brn?, Palackého univerzity v Olomouci, Trnavské univerzity, Univerzity Karlovy v Praze, Univerzity Komenského v Bratislav? a po?ádající Západo?eské univerzity v Plzni. P?edložený sborník tak p?edstavuje relativn? reprezentativní p?ehled úrovn? v?decké práce i jejího zam??ení sou?asných ?eských i slovenských právních historik?. Pozitivní je p?itom relativn? vysoká ú?ast mladých akademických pracovník? i doktorand?.",,,,,2008
,Acta historico-iuridica Pilsnensia 2007,,9788073801076,Vydavatelství a nakladatelství Aleš ?en?k,2,144,?eský,"P?edkládaný druhý svazek ?ady „Acta historico-iuridica Pilsnensia“ je zam??en na ?ímské právo a jeho d?jiny. V prvé ?ásti jsou ?tená?i p?edloženy t?i p?ísp?vky v?nované institutu litiskontestace v ?ímském a kanonickém procesu, denegatio actionis v ?ízení p?ed prétorem a známé kause apoštola Pavla. Druhá ?ást obsahuje deset p?ísp?vk? zabývajících se problematikou vymezení ?asu v dílech n?kterých poklasických autor? ?i ?asu jako právní skute?nosti v ?ímském ústavním právu. Publikace je p?ehledem sou?asné ?eské i slovenské právní romanistiky.",,,,,2008
"Knoll, Vilém",Acta historico-iuridica Pilsnensia 2009-2010,,9788073803254,Vydavatelství a nakladatelství Aleš ?en?k,2,392,?eský,Nad?je právní v?dy 2009-2010.,,,,,2011
"Knoll, Vilém - Beránek, Petr",Acta historico-iuridica Pilsnensia 2011,,9788073803544,Vydavatelství a nakladatelství Aleš ?en?k,2,282,?eský,"Pátý svazek ?ady „Acta historico-iuridica Pilsnensia“ vydávaný Fakultou právnickou Západo?eské univerzity v Plzni p?ináší p?ísp?vky p?ednesené na mezinárodním kolokviu, uspo?ádaném fakultou v lednu roku 2011 u p?íležitosti dvousetletého výro?í vzniku významné kodifikace ob?anského práva, všeobecného ob?anského zákoníku (Allgemeines Bürgerliches Gesetzbuch) a u p?íležitosti 260. let od narození jeho hlavního redaktora Franze von Zeillera. Sborník obsahuje dvacet ?ty?i p?ísp?vk? od dvaceti šesti autor? z ?ech, Slovenska, Polska, Švýcarska a Špan?lska v ?eském, slovenském nebo anglickém jazyce, které se týkají vývoje civilního práva, zejména však jeho nov?jších d?jin v 19. a 20. století a vzhledem k tématu konference jsou logicky zam??eny zvlášt? na ABGB.",,,,,2012
"Oliva, Martin",Acta Musei Moraviae,Scientiae sociales,9788070282861,Moravské zemské muzeum,2,234,?eský,"?asopis Moravského zemského muzea publikuje originální p?ísp?vky p?edevším z oblasti spole?enských v?d, archeologie, historie, hudební a divadelní v?dy, literární historie pracovník? muzea i sp?átelených v?deckovýzkumných institucí. ",,,,"?eština, francouzština, n?m?ina",2006
kol. autor?,Acta Musei Moraviae,Scientia sociales 92/2007,9788070283103,Moravské zemské muzeum,2,210,?eština,"?asopis p?ináší v?decké ?lánky z oboru spole?enských v?d, zejména paleolitické archeologie (nap?. kost?né výrobky z Dolních V?stonic, mimo?ádná stabilita pal. osídlení v Kost?nkách na Donu, výzkum Puklinové jeskyn? v Moravském krasu, kde se našel i eneolitický hrob). Další p?ísp?vky jsou v?novány historické archeologii (motivy na renesan?ních kachlích), teatrologii (o loutká?i V. Kopeckém) a literatu?e (o V. Taušovi).",Archivní snímky,"Seitlová, Pavla",,"?eština, angl. resumé",2007
,Acta Musei Moraviae,Scientiae geologicae 92/2007,9788070283028,Moravské zemské muzeum,3,172,?eský,"Odborný ?asopis Moravského zemského muzea v?novaný mineralogické, geologické i paleontologické tématice, bohat? dopln?ný fotodokumentací, grafy a mapami nálezových lokalit.",archivy autor?,,,,2007
,Acta Musei Moraviae,"Scintiae biologicae 92, 2007, 1-2",9788070283233,Moravské zemské muzeum,3,244,anglický,V p?írodov?dné ?ad? ?asopisu Moravského zemského muzea zam??ené na živou p?írodu jsou publikovány výsledky soustavného a dlouhotrvajícího výzkumu a zásadní taxonometrické a fytogeografické práce. Obsah tohoto ?ísla najdete na internetových stránkách Moravského zemského muzea Brno.,,,,,2008
Kolektiiv autor?,"Acta Musei Moraviae, Scientiae biologicae 91/2006",,9788070283011,Moravské zemské muzeum,3,180,anglický,"Nové ?íslo ?asopisu Moravského zemského muzea obsahuje 12 v?deckých ?lánk? z oboru entomologie, botaniky a mykologie. ?lánky se p?evážn? zabývají systematikou, ekologií, morfologií a rozší?ením hmyzu a hub. Dva ?lánky se v?nují sbírkám botanického a entomologického odd?lení Moravského zemského muzea. Všechny ?lánky jsou psány v angli?tin? a obsahují anglické abstrakty, n?které jsou ukon?eny ?esky psaným souhrnem.",,,,angli?tina,2007
Kolektiv autor?,"Acta Musei Moraviae, Scientiae geologicae 91/2006",,9788070282601,Moravské zemské muzeum,3,255,?eský,"?asopis tentokráte p?ináší ?adu ?lánk? s mineralogickou, geologickou i paleontologickou tématikou, v?novanou oblasti Moravy a Slezska. Z obsahu vyjímáme zejména komplexní mineralogicko-geologickou studii o mramorech v okolí Nedv?dice, které byly využívány od st?edov?ku jako ozdobný kámen, a podrobnou mineralogii pegmatit? T?ebí?ska, výjime?ných i ve sv?tovém m??ítku.",,,,?eština,2006
Kolektiv autor?,"Acta Musei Moraviae, Scientiae sociales 91/2006",,9788070282915,Moravské zemské muzeum,2,185,?eština,"Nové ?íslo spole?enskov?dního ?asopisu Moravského zemského muzea otevírá dev?t obsáhlých ?lánk? s archeologickou tématikou p?edních brn?nských i mimobrn?ských v?deckých pracovník?, zprávy p?ibližující kulturn?spole?enské události nadregionálního charakteru, recenze nových publikací.",,Seitlová Pavla,,"?eština, francouzština, n?m?ina",2007
,Acta musei reginaehradecensis,Series A. Scientiae naturales 31 (2006),9788085031645,Muzeum východních ?ech v Hradci Králové,3,167,?eský,"Bibliografie a rejst?ík ?. 1-30. Malakologická sbírka v MV?, chrán?ná území kraje, nové lokality výskytu rostlin a živo?ich?. ?lánky z oboru botaniky, zologie a entomologie.",,,,,2006
,Acta musei reginaehradecensis,Series A: scientiae naturales. Vol. 34 (2014),9788087686034,Muzeum východních ?ech v Hradci Králové,3,212,?eský,"Další ?íslo p?írodov?deckého ?asopisu, který muzeum vydává, je v?nováno publikování výsledk? p?írodov?deckých pr?zkum? v lomu Rožmitál u Broumova. Botanický a zoologický pr?zkum zde probíhá od roku 2000 a je sou?ástí dlouhodobé spolupráce p?írodov?deckého odd?lení Muzea a provozovatele lomu - Zem?d?lským družstvem Šonov u Broumova. Biologické pr?zkumy realizované ve dvou etapách (2000, a 2008 -2009) a byly nejprve zpracovány v samostatných nepublikovaných zprávách, které sloužily orgán?m ochrany p?írody k posouzení vlivu ukon?ené a nov? plánované t?žby na flóru a faunu. Zárove? se terénní sb?ry staly cenným dokumenta?ním materiálem k floristickým a faunistickým studiím z dosud málo prozkoumané oblasti Broumovska. Souborné publikování botanických a zoologických p?ísp?vk? v tomto ?ísle umož?uje sumarizovat poznatky o biodiverzit? studované lokality a z širšího hlediska vyhodnotit její význam pro druhovou a územní ochranu v rámci CHKO Broumovsko.",,,,,2014
"Beran, Ji?í",Acta Psychiatrica Postgradualia Bohemica 3/2005,,9788072623457,Galén,8,59,?eský,"Již t?etí svazek sborníku, který usiluje o podporu odborného r?stu mladé generace psychiatr?, p?edstavuje soubor 4 seminárních prací p?edložených ke specializa?ní atestaci z psychiatrie II. stupn? v roce 2004: Creutzfeldtova-Jakobova nemoc (Daniel Kotek), Psychogenní a exogenní faktory ovliv?ující vznik a komplikující pr?b?h a lé?bu depresivních potíží (Lucie Provazníková), Udržovací elektrokonvulzivní terapie v psychiatrii (Klára Semerádová), Somatopsychická komorbidita - hypertenze, diabetes mellitus a duševní poruchy (Jana Zmeková)",,,,,2005
"Beran, Ji?í - po?adatel",Acta Psychiatrica Postgradualia Bohemica 4/2007,,9788072624072,Galén,8,46,?eský,"Cílem edice Acta Psychiatrica Postgradualia Bohemica je p?inášet souhrnné práce, které by mohly pomoci ve studiu nejen mladším, ale i zkušen?jším odborník?m z oboru psychiatrie. ?tvrtý svazek sborníku tentokrát p?edstavuje dv? vybrané seminární práce p?edložené ke specializa?ní atestaci z psychiatrie II. stupn? v roce 2005: Deprese s pozdním za?átkem (Kryštof Derner) a P?ehled psychoterapeutických možností u deprese (Jan Roubal).",,,,,2007
,Acta sociopathologica I,,9788074354205,Gaudeamus,17,167,?eský,P?edkládaná publikace p?edstavuje soubor v?deckovýzkumných prací a tezí reflektujících odborné zam??ení ?len? katedry sociální patologie a sociologie PdF Univerzity Hradec Králové.,,,,,2014
,Acta sociopathologica II,,9788074355776,Gaudeamus,17,189,?eský,"Univerzita Hradec Králové, Pedagogická fakulta, Katedra sociální patologie a sociologie.",,,,,2015
,Acta Universitatis Palacianae Olomucensis,Politologica 1,9788024406190,Univerzita Palackého v Olomouci,17,212,,"První publikace z nové ?ady Acta Universitatis Palacianae Olomucensis, jehož auto?i p?sobí p?evážn? na Kated?e politologie a evropských studií FF UP v Olomouci.",,,,,2003
,Acta Universitatis Palacianae Olomucensis Civilia IV Evropská a národní identita,,9788024420493,Univerzita Palackého v Olomouci,2,116,?esky,"Soubor p?ísp?vk? ?eských a ma?arských ú?astník? mezinárodního sympozia ve Frankfurtu nad Mohanem 26.-29. zá?í 2007. Obsahem je historie a sou?asnost vztah? mezi jednotlivými zem?mi, regiony a jejich obyvateli a konstituování jednotné Evropy p?i respektování rozdílnosti národních kultur a to z pohledu spole?enskov?dních obor?: filozofie, etiky, historie, sociologie, politologie a práva.",,,,,2008
"Karásková, Vlasta",Acta Universitatis Palacianae Olomucensis Gymnica 35/1,,9788024410159,Univerzita Palackého v Olomouci,11,82,anglicky,Pravidelný sborník Fakulty t?lesné kultury Univerzity Palackého v Olomouci.,,,,,2005
"Pospíchal, Miloslav (editor)",Acta Universitatis Palacianae Olomucensis Historica 32 Sborník prací historických XX,,9788024409795,Univerzita Palackého v Olomouci,2,126,?eský,Pravidelný sborník Katedry historie Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Kamení?ek, Ji?í",Acta Universitatis Palacianae Olomucensis Chemica 43,,9788024408880,Univerzita Palackého v Olomouci,3,118,anglicky,Pravidelná ro?enka kateder chemie P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Frébort, Ivo - Walterová, Daniela",Acta Universitatis Palacianae Olomucensis Chemica 43S,Supplement,9788024408828,Univerzita Palackého v Olomouci,3,280,anglicky,"Supplement každoro?ního sborníku Acta Universitatis Palacianae Olomucensis Chemica, vydaný k XIX. biochemickému sjezdu, který se konal v Olomouci ve dnech 31. 8.- 3. 9. 2004.",,,,,2004
"Novotná, Ludmila (editor)",Acta Universitatis Palacianae Olomucensis Iuridica 5/6,,9788024408040,Univerzita Palackého v Olomouci,2,442,?esky,Pravidelný sborník Právnické fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Stan?k, Svatoslav (editor)",Acta Universitatis Palacianae Olomucensis Mathematica 43,,9788024409658,Univerzita Palackého v Olomouci,3,170,anglicky,Pravideln? vydávaný sborník kateder matematik P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Fiala, Ji?í (editor)",Acta Universitatis Palacianae Olomucensis Moravica 2 Studia Moravica II,,9788024409757,Univerzita Palackého v Olomouci,2,306,?esky,"Sborník historiografických, filologických a um?nov?dných p?ísp?vk? p?ednesených na v?decké konferenci ""Genologický systém kultury na Morav?"" ve dnech 30.-31. ?íjna 2003 na Filozofické fakult? Univerzity Palackého v Olomouci.",,,,,2004
"Christiansen, Paul",Acta Universitatis Palacianae Olomucensis Musicologica Olomucensia VII Philosophica-Aesthetica 28,,9788024410555,Univerzita Palackého v Olomouci,2,148,anglicky a n?mecky,Sborník obsahuje studie ?len? a spolupracovník? Katedry muzikologie Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2005
,Acta Universitatis Palacianae Olomucensis Orientalia I,Literatura a um?ní Tchaj-Wanu,9788024417103,Univerzita Palackého v Olomouci,17,136,,"Nový sborník je první ?ásti soubor? studií v?novaných tématu Tchaj-Wanu. Další ?ást bude o jazyce, obyvatelstvu a politice.",,,,,2007
"?erný, Ji?í - Holeš, Jan",Acta Universitatis Palacianae Olomucensis Philologica 85 Romanica Olomucensia XIII,,9788024408712,Univerzita Palackého v Olomouci,2,166,?esky,Pravidelný každoro?ní sborník p?ísp?vk? ?len? Katedry romanistiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Mí?a, Slavomír - Uvírová, Jitka",Acta Universitatis Palacianae Olomucensis Philologica 86 Romanica Olomucensia XIV,,9788024409474,Univerzita Palackého v Olomouci,2,144,"?esky a anglicky, špan?lsky a francouzsky",Pravidelný sborník Katedry romanistiky Univerzity Palackého v Olomouci.,,,,,2005
,Acta Universitatis Palacianae Olomucensis Philologica 98 Neerlandica IV,,9788024419718,Univerzita Palackého v Olomouci,17,138,?eský,Pravidelný sborník p?ísp?vk? Katedry nederlandistiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2008
"Sýkora, Michal (editor)",Acta Universitatis Palacianae Olomucensis Philosophica-Aesthetica 27 Kontexty IV Litteraria-Theatralia-Cinematographica,,9788024409887,Univerzita Palackého v Olomouci,2,230,?esky,"Sborník Katedry divadelních, filmových a mediálních studií Filozofické fakulty Univerzity Palackého v Olomouci.",,,,,2005
"Bi?ík, Vít?zslav - Pospíšil, Jaroslav",Acta Universitatis Palacianae Olomucensis Physica 42-43,,9788024409412,Univerzita Palackého v Olomouci,5,218,anglicky,Pravidelný sborník kateder fyziky P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Marek, Pavel",Acta Universitatis Palacianae Olomucensis Politologica 3,,9788024408866,Univerzita Palackého v Olomouci,2,284,?eský,Pravidelný sborník vydávaný Katedrou politologie a evropských studií Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2004
,Acta Universitatis Palacianae Olomucensis Psychologica 35 Supplementum,Psychologické dny 2004,9788024410593,Univerzita Palackého v Olomouci,2,80,?esky,"Sborník z Psychologických dn?, konaných 9.-11. zá?í v Olomouci. K publikaci je p?iložen CD-ROM s plnými zn?ními referát? a fotografiemi ze stkání. Neprodejné.",,,,,2005
"Pechal, Zden?k",Acta Universitatis Palacianae Olomucensis Rossica Olomucensia (za rok 2003),,9788024408309,Univerzita Palackého v Olomouci,12,686,ruský,Ro?enka Katedry slavistiky na Filozofické fakult? Univerzity Palackého v Olomouci. Sestává ze dvou ?ásti.,,,,,2004
"Sýkorová, Dana - Šimek, Dušan - Dvo?áková, Mirosla",Acta Universitatis Palacianae Olomucensis Sociologica-Andragogica,T?etí v?k trojí optikou,9788024410067,Univerzita Palackého v Olomouci,2,188,?esky,Sborník Katedry sociologie a andragogiky Filozofické fakulty Univerzity Palackého v Olomouci. Zpracovává z r?zných pohled? téma senior? v sou?asné spole?nosti.,,,,,2005
"Bi?ík, Vít?zslav - Vysoudil, Miroslav (uspo?.)",Acta Universitatis Palackianae Olomucensis  Geographica 38,,9788024408392,Univerzita Palackého v Olomouci,3,100,anglický,Pravidelná ro?enka Katedry geografie P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Uhlí?ová, Martina (editor)",Acta Universitatis Palackianae Olomucensis  Matematika 2,,9788024413112,Univerzita Palackého v Olomouci,3,326,"?esky, polsky, slovensky, anglicky, n?mecky","Sborník obsahuje p?ísp?vky ú?astník? v?decké konference s mezinárodní ú?astí, která se pod názvem ""Matematika jako prost?edí pro rozvoj osobnosti žáka primární školy"" konala ve dnech 19.-21. 4. 2006 na Pedagogické fakult? UP v Olomouci. Neprodejné",,,,,2006
"Fiala, Ji?í",Acta Universitatis Palackianae Olomucensis  Moravica 1 Studia Moravica I,,9788024408453,Univerzita Palackého v Olomouci,2,400,?eský jazyk,Nov? založenou ?adu pravidelných sborník? Acta Universitatis Palackianae Olomucensis Moravicu p?ipravili ?lenové Katedry bohemistiky FF UP v Olomouci,,,,,2004
"Anderš, Josef (ed.)",Acta Universitatis Palackianae Olomucensis  Philologica 82 – 2004. UCRAINICA I.,UCRAINICA I. Sou?asná ukrajinistika. Problémy jazy,9788024408286,Univerzita Palackého v Olomouci,12,408,?eský,"Sborní vydaný k 65. narozeninám prof. Josefa Anderše. P?ísp?vky zazní na 2. Olomouckém sympoziu ukrajinist? 26.-28. srpna 2004 s tématy: Sou?asná ukrajinistika. Problémy jazyka, literatury a kultury. ",,,,,2004
"Kadlec, Jaromír - Holeš, Jan (uspo?.)",Acta Universitatis Palackianae Olomucensis  Philologica 83 Canadiensia I,,9788024408293,Univerzita Palackého v Olomouci,2,100,?eský jazyk,Nová pod?ada ?ady Philologiga Katedry romanistiky Filozofické fakulty Univerzity Palackého v Olomouci. ,,,,,2004
"Po?ízka, Petr (edit.)",Acta Universitatis Palackianae Olomucensis  Philologica 84 Bohemica IX,,9788024408705,Univerzita Palackého v Olomouci,2,266,?eský jazyk,Ro?enka katedry bohemistiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2004
"Reiterová, Eva (uspo?.)",Acta Universitatis Palackianae Olomucensis  Varia Psychologica IX Psychologica 33,,9788024407784,Univerzita Palackého v Olomouci,2,150,?eský,Tradi?ní sborník psycholog? Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2003
,Acta Universitatis Palackianae Olomucensis Bohemica X,,9788024417172,Univerzita Palackého v Olomouci,2,376,,Každoro?ní ro?enka Katedry bohemistiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2007
"Vysoudil, Miroslav (editor)",Acta Universitatis Palackianae Olomucensis Geographica 39,,9788024413976,Univerzita Palackého v Olomouci,17,140,,Pravideln? vydávaný sborník Katedry geografie P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2006
"Zimák, Ji?í (editor)",Acta Universitatis Palackianae Olomucensis Geologica 38,,9788024407579,Univerzita Palackého v Olomouci,3,44,?eský,Pravideln? vycházející sborník Katedry geologie P?írodov?decké fakulty Univerzity Palackého v Olomouci,,,,,2003
"Koucká, Ivana",Acta Universitatis Palackianae Olomucensis Historica 34 Sborník prací historických XXII,,9788024419749,Univerzita Palackého v Olomouci,17,140,?esky,Pravidelný sborník p?ísp?vk? ?len? Katedry historie Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2008
"Kamení?ek, Ji?í (editor)",Acta Universitatis Palackianae Olomucensis Chemica 44,,9788024411712,Univerzita Palackého v Olomouci,3,94,anglicky,Každoro?ní sborník p?ísp?vk? z kateder chemie P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2005
"Stan?k, Svatoslav (editor)",Acta Universitatis Palackianae Olomucensis Mathematica 44,,9788024411729,Univerzita Palackého v Olomouci,3,172,anglicky,Každoro?ní pravidelný sborník kateder matematiky P?írodov?decké fakulty V Olomouci.,,,,,2005
"Stan?k, Svatoslav (editor)",Acta Universitatis Palackianae Olomucensis Mathematica 45,,9788024414966,Univerzita Palackého v Olomouci,3,174,anglicky,Sborník p?ísp?vk? matematických kateder P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2006
,Acta Universitatis Palackianae Olomucensis Mathematica 46 (2007),,9788024418193,Univerzita Palackého v Olomouci,17,90,,Každoro?ní sborník matematických kateder P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2008
"Stan?k, Svatoslav",Acta Universitatis Palackianae Olomucensis Mathematica 47 (2008),,9788024421216,Univerzita Palackého v Olomouci,17,140,anglický,Každoro?ní sborník p?ísp?vk? ?len? kateder matematiky P?írodov?decké fakulty Univerzity Palackého v Olomouci.,,,,,2008
"Gilk, Erik",Acta Universitatis Palackianae Olomucensis Moravica 3 Studia Moravica III,,9788024411101,Univerzita Palackého v Olomouci,2,318,?esky,"Sborník historiografických, filologických a um?nov?dných p?ísp?vk? p?ednesených na v?decké konferenci Mars Moravicus - Neklidná léta Moravy po?ádané ve dnech 28.-30. ?ervna 2004 na Filozofické fakult? Univerzity Palackého v Olomouci.",,,,,2005
"Komenda, Petr (editor)",Acta Universitatis Palackianae Olomucensis Moravica 4 Studia Moravica IV Symposiana,,9788024412672,Univerzita Palackého v Olomouci,2,246,?esky,Sborník p?ísp?vk? p?ednesených na prvním mezioborovém sympoziu ?eská kultura a um?ní ve 20. století v?novaném tématu Ideologie a imaginace.,,,,,2006
,Acta Universitatis Palackianae Olomucensis Moravica VI Symposiana,,9788024419046,Univerzita Palackého v Olomouci,17,262,?esky,Sborník p?ísp?vk? p?ednesených na t?etím mezioborovém sympoziu ?eská kultura a um?ní ve 20. století v?novaném tématu Omyly a objevy v um?ní 20. století. Sympozium se uskute?nilo ve dnech 13. a 14. b?ezna 2007 na p?d? Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2008
,Acta Universitatis Palackianae Olomucensis Musicologica Olomucensia IX,,9788024417165,Univerzita Palackého v Olomouci,2,276,,Každoro?ní sborník Katedry muzikologie na Filozofické fakult? Univerzity Palackého v Olomouci byl p?ipraven p?i p?íležitosti 75. narozenin významného pedagoga profesora Ivana Poled?áka.,,,,,2007
"?erný,Ji?í - Holeš, Jan",Acta Universitatis Palackianae Olomucensis Philologica 86 Romanica XV,,9788024410944,Univerzita Palackého v Olomouci,2,366,"?esky, francouzsky a špan?lsky",Pravidelný sborník p?ísp?vk? katedry romanistiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2005
"Marini, Alessandro - Špi?ka, Ji?í - Ková?ová, Lenk",Acta Universitatis Palackianae Olomucensis Philologica 88 Romanica XVI,,9788024414393,Univerzita Palackého v Olomouci,12,394,š,Sborník p?ísp?vk? Katedry romanistiky Univerzity Palackého v Olomouci.,,,,,2006
,Acta Universitatis Palackianae Olomucensis Philologica 93 Romanica XIX,,9788024418162,Univerzita Palackého v Olomouci,17,352,románské jazyky,Sborník p?ísp?vk? Katedry romanistiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2008
,Acta Universitatis Palackianae Olomucensis Philologica 96 Neerlandica III,,9788024419701,Univerzita Palackého v Olomouci,17,184,?esky a holandsky,Pravidelný sborník p?ísp?vk? Katedry nederlanstiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2008
"Anderš, Josef",Acta Universitatis Palackianae Olomucensis Philologica 97 Ucrainica III,Sou?asná ukrajinistika,9788024420226,Univerzita Palackého v Olomouci,17,770,ukrajinsky,"Ro?enka Katedry slavistiky sekce ukrajinštiny Filozofické fakulty Univerzity Palackého v Olomouci. V?nováno problém?m jazyka, literatury a kultury. Je rozd?lena do dvou ?ástí.",,,,,2008
"Marek, Pavel",Acta Universitatis Palackianae Olomucensis Politologica 4,,9788024410630,Univerzita Palackého v Olomouci,2,288,?esky a anglicky,Každoro?ní sborník katedry politologie Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2005
"Marek, Pavel",Acta Universitatis Palackianae Olomucensis Politologica V,,9788024413921,Univerzita Palackého v Olomouci,2,330,"?eský, anglický, n?mecký",Každoro?ní sborník p?ísp?vk? Katedry politologie Univerzity Palackého v olomouci,,,,,2006
"Reiterová, Eva",Acta Universitatis Palackianae Olomucensis Psychologica 34 Varia Psychologica X,,9788024410609,Univerzita Palackého v Olomouci,2,200,?eský a slovenský a anglický,Pravidelný sborník p?ísp?vk? Katedry psychologie Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2005
,Acta Universitatis Palackianae Olomucensis Psychologica 37 Supplementum,,9788024418131,Univerzita Palackého v Olomouci,17,386,?esky a anglicky,Pravidelný sborník Katedry psychologie Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2008
,Acta Universitatis Palackianae Olomucensis Romanica Olomucensia XVIII,,9788024418209,Univerzita Palackého v Olomouci,17,376,vícejazy?né,Pravidelný sborník p?ísp?vk? Katedry romanistiky Univerzity Palackého v Olomouci.,,,,,2008
"Pechal, Zden?k",Acta Universitatis Palackianae Olomucensis Rossica Olomoucensia XLV (za rok 2006),,9788024417653,Univerzita Palackého v Olomouci,17,200,ruský,Ro?enka Katedry slavistiky na Filozofické fakult? Univerzity Palackého v Olomouci.,,,,,2008
"Ryšavý, Dan",Acta Universitatis Palackianae Olomucensis Sociologica-Andragogica 2006,,9788024413778,Univerzita Palackého v Olomouci,17,222,?esky,Sborník katedry sociologie a andragogiky Filozofické fakulty Univerzity Palackého v Olomouci.,,,,,2006
