Author,Title,Subtitle,ISBN 1,Publisher,TS,Pages,Language,Annotations,Illustrator,Translator,Original Title,Original language,Date of publishing
"Jukl, Jakub Ji?í",Adamité,Historie a vyhubení husitsk?ch nahá??,9788073636012,Doko?án s.r.o.,2,168,?esk?,"Adamité neboli ""nahá?i"" byli jednou z nejzajímav?j?ích sekt nejen husitské doby, ale ve své podstat? cel?ch na?ich d?jin. Vyrostli jednak z domácí duchovní tradice, z chiliasmu (o?ekávání brzkého druhého p?íchodu Krista), jednak byli ovlivn?ni nábo?ensk?mi proudy z ciziny. V?znamn?m impulsem pro rozvoj adamitství byla také eucharistická nauka táborského kn?ze Martina Húsky, kter? usiloval o znovuzavedení starok?es?ansk?ch hod? lásky - agapé. Autor ve své knize mapuje d?jiny této sekty od zformování Húskovy nábo?enské skupiny, p?es její radikalizaci a vyhnání z Tábora, a? po nalezení úto?i?t? na ostrov? na ?ece Ne?árce, odkud podnikala p?epady okolních m?ste?ek. Adamitská hereze nakonec p?im?la Jana ?i?ku, aby zasáhl... Kniha nám p?ibli?uje st?edov?k? sv?t s jeho duchovními i sv?tsk?mi spory na pozadí husitsk?ch válek.","Zeman, Tomá? (obálka)",,,,2005
Richard Rohr,Adam?v návrat,Mu?ská iniciace,9788070217849,Vy?ehrad,0,176,?esk?,"I u nás dob?e znám? americk? autor duchovn? terapeutické literatury p?edkládá svou vizi duchovní cesty. V?chodiskem jeho prakticky orientovaného konceptu duchovního zrání jsou inicia?ní rity, existující ve v?ech kulturách, které reinterpretuje tak, aby odrá?ely vnit?ní pot?eby, touhy i slabiny dne?ního mu?e a pomáhaly je zvládnout na vy??í rovin?.   ",,Tomá? Svoboda,"Adams Return, The Five Promises of Male Initation",anglick?,2008
Brown Sandra,Adam?v pád,,9788024911199,Euromedia Group k.s.,13,160,?esk?,"Lila Masonová byla v posledních letech sv?dkem, jak se její star?í sestra zamilovala, vdala a m?la d?ti. Ona sama ve?kerou energii v?novala své profesi a vypracovala se na vynikající fyzioterapeutku, která nikdy neklesá na duchu a neztrácí soucit s pacienty. Kdy? p?ijme nov? náro?n? úkol, zm?ní se nejen ?ivot jejího sv??ence, ale i její vlastní. Je?t? nikdy nem?la tak umín?ného pacienta, jako je Adam. P?esto je Lila odhodlaná pomoci mu k návratu do normálního ?ivota. P?íli? pozd? p?ijde na to, ?e sice vyhrává bitvu o Adamovo zdraví, ale ztrácí srdce a za?íná pochybovat o sv?ch p?edstavách o mu?ích, lásce a zejména o sob?...",,"Chy?ková, Marie",Adam´s Fall,anglick?,2016
"Vará?ková, Miroslava",Adaptace,,9788075290502,"Nakladatelství Slovart, s.r.o.",13,264,?esk?,"Zoya m?la v?echno – domov, p?átele, rodinu… A pak lidstvo zdecimovaly války. Te? nemá nic. P?i?la i o sv?j domov. Ale p?izp?sobila se. Vp?ed ji pohání jen nad?je, ?e ji vzácná mapa dovede do posledního úto?i?t? na Zemi. Lidé zkou?ení válkou a nemocemi se také p?izp?sobili novému sv?tu a bojují o ka?dou minutu ?ivota. Osam?lá dívka putující neznámou krajinou je pro n? snadnou ko?istí. Kdy? Zoje pom??e neznám? ?imon, poru?í tím k?ehkou rovnováhu povále?ného spole?enství a musí za to zaplatit ?ivotem. A tak se Zoye vydává na cestu zni?enou krajinou s nad?jí, ?e ji mapa po jejím mrtvém kamarádovi skute?n? dovede p?ed brány m?sta, kde je?t? vládne lidskost. Tedy m?la by… Dystopická verze budoucnosti v nejnov?j?ím románu Miroslavy Vará?kové Adaptace má a? nebezpe?n? blízko k realit?...",,,,,2006
"Zeman, Václav",Adaptace na chlad u ?lov?ka,Mo?nosti a hranice,9788072623310,Galén,8,131,?esk?,"Monografie ur?ená p?edev?ím léka??m pojednává o r?zn?ch aspektech reakce a adaptace lidského organismu na p?sobení chladu, se zvlá?tním z?etelem na chlad extrémní. Podává p?ehled fyziologick?ch pochod? nastupujících jako reakce na celkové p?sobení intenzivního chladového podn?tu, zab?vá se projevy adaptace k chladu a pokou?í se objasnit podstatu zvy?ování obranyschopnosti organismu otu?ováním. ",,,,,2007
"K?í?, Zden?k",Adaptace Severoatlantické aliance na nové mezinárodní bezpe?nostní prost?edí,Aplikace p?ístup? konceptu kooperativni bezpe?nosti,9788021042186,Masarykova univerzita,2,220,?esk?,"P?edlo?ená práce se zab?vá adaptací Severoatlantické aliance na nové mezinárodní bezpe?nostní prost?edí, p?i?em? si v?ímá míry aplikace p?ístup? typick?ch pro koncept kooperativní bezpe?nosti. Hlavní pozornost je v?nována p?edev?ím adaptaci strategické koncepce NATO, roz?i?ování Severoatlantické aliance a reform? vojensk?ch struktur. V?znamná ?ást práce analyzuje roli Aliance p?i provád?ní vojensk?ch operací na podporu míru.",,,,,2013
"Olejník, Robert",Adaptace vlastností polymerních kompozit? na bázi uhlíkov?ch nanotrubic z pohledu jejich mo?n?ch senzorick?ch vlastností,Teze diserta?ní práce,9788074543210,Univerzita Tomá?e Bati ve Zlín?,17,54,?esk?,"St??ejním tématem je vyu?ití uhlíkov?ch nanotrubic v kompozitních strukturách nebo i samostatn? ve form? sít? z náhodn? zapleten?ch uhlíkov?ch nanotrubic. Dále jsou zkoumány vlastnosti t?chto struktur a to p?edev?ím citlivost na tlak, ohyb ?i detekci par organick?ch rozpou?t?del. Jedním z d?le?it?ch krok? je p?íprava membrány technologií elektrostatického zvlák?ování. Tato membrána slou?í k vytvo?ení sít? ze zapleten?ch uhlíkov?ch nanotrubic pomocí filtrace a také k vytvo?ení kompozitu s aktivní vrstvou na povrchu.",,,,,2009
"Zelinka, Tomá?",Adaptive Multi-path Wireless Access Communication Architecture for Transport Systems,Profesorská p?edná?ka 9/09,9788001043431,?eské vysoké u?ení technické  v Praze,17,36,anglick?,"?iroké spektrum dostupn?ch telematick?ch slu?eb vede k integraci slu?eb do jedné palubní vozidlové jednotky. Tento p?ístup je v?zvou vy?adující koncentraci celého pou?itelného portfolia telekomunika?ních slu?eb. ?e?ení na bázi p?epínání vícekanálového p?ístupového ?e?ení je úzce spojeno s p?ípravou ISO/CEN standard? CALM. Tyto standardy ?e?í p?edev?ím systémovou architekturu, ale procesy v?b?ru nejvhodn?j?í alternativy ji? nedostaly odpovídající prioritu. Navrhovaná alternativa rozhodovacích proces? vychází z princip? samou?ících se klasifika?ních proces?. Trénovacími daty jsou ?asové ?ady ji? nam??en?ch parametr? dopln?né o správn? v?b?r komunika?ního ?e?ení. Pokud samou?ící se procesy pokra?ují i v aplika?ní period?, lze tím dosáhnout postupného zkvalit?ování identifika?ních proces?.",,,,,2008
"Svoboda, Ladislav",Adaptivní anal?za ?elezobetonov?ch rámov?ch konstrukcí s microplane sty?níky,,9788001042465,?eské vysoké u?ení technické  v Praze,5,105,?esk?,"Práce pojednává o vyu?ití mikroplo?kového (microplane)materiálového modelu p?i anal?ze 2D ?B rámov?ch konstrukcí. Hybridní  geometrick? model rámu je slo?en? z 3D a 1D kone?n?ch prvk?, jejich? rozlo?ení se m?ní b?hem v?po?tu.",,,,,2015
"Podsk?an, Adrián",Adaptivní organizace,,9788072613366,Management Press,1,176,?esk?,"Je neoddiskutovatelné, ?e bariéry úsp??nosti podnikání mají své ko?eny nejen v selhání trhu, právních nástroj? a v neo?ekávan?ch zm?nách ekosystému, ale také v nízké schopnosti zainteresovan?ch stran reagovat na aktuální situaci na trhu. Auto?i tvrdí, ?e tuto skute?nost pocítili nejeden podnikatel, jen? byl v posledních n?kolika letech vystaven vleklé ekonomické krizi, kdy se v rámci snahy o zachování své pozice musel a musí adaptovat na nov? nastavené tr?ní podmínky. Z tohoto d?vodu p?ipravili knihu Adaptivní organizace s cílem pomoci organizacím rychle a pru?n? reagovat na m?nící se podmínky v podnikatelském prost?edí. Kniha je psaná jasn? ?iv?m a srozumiteln?m jazykem, s mno?stvím praktick?ch a u?ite?n?ch poznámek. V úvodní ?ásti jsou stru?n? charakterizovány adaptivní prvky firem Ba?a, Toyota, BMW, Ikea a Apple. Auto?i zde rozebírají dvanáct zásadních bariér p?i budování úsp??né organizace s tím, ?e ?ad? mana?er? se tyto bariéry je?t? zdaleka nepoda?ilo p?ekonat. Kniha zaujme práv? tím, ?e p?ekonává mnohé tradi?ní pohledy na organizaci podniku, které se ukázaly jako nedosta?ující: centralizace, hierarchie, nedostatek experimentovaní, pevné hranice, nedostatek ú?elu apod. Velice zajímavé je my?lení v modelech ZIPF, Lean Canvas (Ash Maurya) a evolu?ních fázích organizace podniku podle Milana Zeleného, je? auto?i rozvíjejí. Práv? poslední, budoucí, fázi je adaptivní organizace, která se rychle p?izp?sobuje okolí a má vlastnosti anti k?ehkostí.",,,,,2012
